initials,date_entered,sorter_ID,occasion_ID,sample_ID,sample_location,collection_date,sorting_date,grids_sampled,order_name,family_name,life_stage,BL_HW,total_counts,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,empty_case,NOTES,,PROOFED BY,PROOF DATE
CV,10/3/25,GS,,C20824_SURB5,C2,8/-/2024,4/15/25,5,Diptera,Chironomidae,L,BL,25,8.9,8.3,5.5,4.8,7.5,7.5,7,9.2,7.2,6.5,,,,,
CV,10/3/25,GS,,C20824_SURB5,C2,8/-/2024,4/15/25,5,Diptera,Simuliidae,L,BL,154,5,3.4,4,3.5,4.2,6.4,4.7,6,5.5,2.7,,,,,
CV,10/3/25,GS,,C20824_SURB5,C2,8/-/2024,4/15/25,5,Coleoptera,Elmidae,L,BL,2,4.5,4.6,,,,,,,,,,,,,
CV,10/3/25,GS,,C20824_SURB5,C2,8/-/2024,4/15/25,5,Coleoptera,Elmidae,A,BL,1,3,,,,,,,,,,,,,,
CV,10/3/25,GS,,C20824_SURB5,C2,8/-/2024,4/15/25,5,Coleoptera,rare,L,BL,1,12,,,,,,,,,,,,,,
CV,10/3/25,Grace,,T10824_SURB1,T1,7/-/2024,5/2/25,6,Plecoptera,Perlidae,L,BL,1,20,,,,,,,,,,,231,TOTAL,,
CV,2/17/26,Grace,,T10824_SURB1,T1,7/-/2024,5/2/25,6,Ephemeroptera,Heptageniidae,L,BL,10,5.5,4.2,7.5,4.3,4.5,2.5,5.3,2.7,3.5,5.5,,,,,
CV,2/17/26,Grace,,T10824_SURB1,T1,7/-/2024,5/2/25,6,Ephemeroptera,Baetidae,L,BL,33,5.2,3.2,2.8,3.5,3.5,5.7,4.5,1.3,4.7,5.5,,,,,
CV,2/17/26,Grace,,T10824_SURB1,T1,7/-/2024,5/2/25,6,Trichoptera,Brachycentridae,L,BL,2,2.1,9.7,,,,,,,,,,,,,
CV,2/17/26,Grace,,T10824_SURB1,T1,7/-/2024,5/2/25,6,Trichoptera,Glossosomatidae,L,BL,11,4.3,5.2,8.5,5.6,9.5,6,5.6,6.4,7.5,8,,,,,
CV,2/17/26,Grace,,T10824_SURB1,T1,7/-/2024,5/2/25,6,Trichoptera,Hydropsychidae,L,BL,1,12.2,,,,,,,,,,,,,,
CV,2/17/26,Grace,,T10824_SURB1,T1,7/-/2024,5/2/25,6,Trichoptera,Rhyacophilidae,L,BL,3,10.7,5.5,12.5,,,,,,,,,,,,
CV,2/17/26,Grace,,T10824_SURB1,T1,7/-/2024,5/2/25,6,Trichoptera,Lepidostomatidae,L,BL,5,2,2.5,1.5,2,2.1,,,,,,,,,,
CV,2/17/26,Grace,,T10824_SURB1,T1,7/-/2024,5/2/25,6,Diptera,Chironomidae,L,BL,6,5.4,3.2,7.2,2.5,1.9,5.3,,,,,,,,,
CV,2/17/26,Grace,,T10824_SURB1,T1,7/-/2024,5/2/25,6,Diptera,Simuliidae,L,BL,146,2.7,3,3.4,3.5,6.4,6.3,5.5,3.9,6.3,3.9,,,,,
CV,2/17/26,Grace,,T10824_SURB1,T1,7/-/2024,5/2/25,6,Coleoptera,Elmidae,L,BL,5,3.5,4,3.9,4,3.8,,,,,,,,,,
CV,2/17/26,Grace,,T10824_SURB1,T1,7/-/2024,5/2/25,6,Coleoptera,Elmidae,A,BL,4,3.2,3.1,2.5,3,,,,,,,,,,,
CV,2/17/26,Grace,,T10824_SURB1,T1,7/-/2024,5/2/25,6,Coleoptera,Elmidae,A,HW,1,0.4,,,,,,,,,,,,,,
CV,2/17/26,Grace,,T10824_SURB1,T1,7/-/2024,5/2/25,6,Diptera,Simuliidae,A,BL,2,3.5,2,,,,,,,,,,,,,
CV,2/17/26,Grace,,T10824_SURB1,T1,7/-/2024,5/2/25,6,Hemiptera,Aphididae,L,BL,1,4.4,,,,,,,,,,,,,,
CV,2/17/26,AW,,T10824_SURB2,T1,7/30/24,5/8/24,16,Plecoptera,Perlidae,L,BL,1,25,,,,,,,,,,,214,TOTAL,,
CV,2/17/26,AW,,T10824_SURB2,T1,7/30/24,5/8/24,16,Ephemeroptera,Ephemerellidae,L,BL,5,12,11.5,10.7,10.9,5.5,,,,,,,,,,
CV,2/17/26,AW,,T10824_SURB2,T1,7/30/24,5/8/24,16,Ephemeroptera,Heptageniidae,L,BL,9,2.9,5.8,6.9,6,4.9,1.9,6.3,6.9,1.7,,,,,,
CV,2/17/26,AW,,T10824_SURB2,T1,7/30/24,5/8/24,16,Ephemeroptera,Baetidae,L,BL,70,2.5,1.5,1.9,2,3.4,2.2,1.9,2,2.5,1.3,,,,,
CV,2/17/26,AW,,T10824_SURB2,T1,7/30/24,5/8/24,16,Ephemeroptera,Leptophlebidae,L,BL,1,2.9,,,,,,,,,,,,,,
CV,2/17/26,AW,,T10824_SURB2,T1,7/30/24,5/8/24,16,Trichoptera,Brachycentridae,L,BL,6,6.5,2.1,11.1,7.8,10.4,1.8,,,,,,,,,
CV,2/17/26,AW,,T10824_SURB2,T1,7/30/24,5/8/24,16,Trichoptera,Glossosomatidae,L,BL,16,4.5,4.2,1.6,4.5,2,3,4.4,10,4.5,4.2,,,,,
CV,2/17/26,AW,,T10824_SURB2,T1,7/30/24,5/8/24,16,Trichoptera,Hydropsychidae,L,BL,2,15,19.1,,,,,,,,,,,,,
CV,2/17/26,AW,,T10824_SURB2,T1,7/30/24,5/8/24,16,Trichoptera,Rhyacophilidae,L,BL,3,9.7,6.6,7.5,,,,,,,,,,,,
CV,2/17/26,AW,,T10824_SURB2,T1,7/30/24,5/8/24,16,Trichoptera,Lepidostomatidae,L,BL,40,3.6,2.6,3.8,2.4,2.4,3.4,2.5,2.6,2.9,2.5,,,,,
CV,2/17/26,AW,,T10824_SURB2,T1,7/30/24,5/8/24,16,Diptera,Chironomidae,L,BL,17,3,8.5,6.5,6.5,7.4,5.2,2.5,3.2,2,6.5,,,,,
CV,2/17/26,AW,,T10824_SURB2,T1,7/30/24,5/8/24,16,Diptera,Simuliidae,L,BL,10,2.4,3.1,1.6,2.3,3.1,3,2.1,2,2.5,2.5,,,,,
CV,2/17/26,AW,,T10824_SURB2,T1,7/30/24,5/8/24,16,Coleoptera,Elmidae,L,BL,22,4.2,2.9,3.2,2.8,2.1,4.4,3.6,4.5,3.7,3.8,,,,,
CV,2/17/26,AW,,T10824_SURB2,T1,7/30/24,5/8/24,16,Coleoptera,Elmidae,A,BL,10,2.9,2.5,2.9,2.8,2.7,,,,,,,,,,
CV,2/17/26,AW,,T10824_SURB2,T1,7/30/24,5/8/24,16,Trombidiformes,Hydrachnidae,A,BL,1,1,,,,,,,,,,,,,,
CV,2/17/26,AW,,T10824_SURB2,T1,7/30/24,5/8/24,16,Diptera,Blephariceridae,L,BL,1,3,,,,,,,,,,,,,,
CV,2/17/26,Alex,,T10824_SURB3,T1,7/30/24,5/15/25,16,Plecoptera,Perlidae,L,BL,2,3.4,3.5,,,,,,,,,,169,TOTAL,,
CV,2/17/26,Alex,,T10824_SURB3,T1,7/30/24,5/15/25,16,Ephemeroptera,Ephemerellidae,L,BL,5,10.5,10.4,13.4,10.3,12.4,,,,,,,,,,
CV,2/17/26,Alex,,T10824_SURB3,T1,7/30/24,5/15/25,16,Ephemeroptera,Heptageniidae,L,BL,9,2.6,7.3,3.3,4.2,2.5,4.7,3.3,7.8,7.4,,,,,,
CV,2/17/26,Alex,,T10824_SURB3,T1,7/30/24,5/15/25,16,Ephemeroptera,Baetidae,L,BL,26,3,3.5,4.8,1.9,6.6,2.1,3.2,1.4,2.8,2.5,,,,,
CV,2/17/26,Alex,,T10824_SURB3,T1,7/30/24,5/15/25,16,Trichoptera,Brachycentridae,L,BL,2,10,7.4,,,,,,,,,,,,,
CV,2/17/26,Alex,,T10824_SURB3,T1,7/30/24,5/15/25,16,Trichoptera,Glossosomatidae,L,BL,24,3.3,4.2,5.2,4,4.5,4,4.7,2.3,2.4,4.5,,,,,
CV,2/17/26,Alex,,T10824_SURB3,T1,7/30/24,5/15/25,16,Trichoptera,Hydropsychidae,L,BL,2,8.3,15.2,,,,,,,,,,,,,
CV,2/17/26,Alex,,T10824_SURB3,T1,7/30/24,5/15/25,16,Trichoptera,Lepidostomatidae,L,BL,15,4.5,4.5,2.5,2.3,1.5,3.5,3.5,3,3.6,3,,,,,
CV,2/17/26,Alex,,T10824_SURB3,T1,7/30/24,5/15/25,16,Diptera,Chironomidae,L,BL,16,6.3,5.2,8.5,7.6,6.5,5.1,2.1,2.8,5,3.2,,,,,
CV,2/17/26,Alex,,T10824_SURB3,T1,7/30/24,5/15/25,16,Diptera,Simuliidae,L,BL,60,5.1,3.4,4.3,3,3.7,5.7,6.2,5,4.4,4.7,,,,,
CV,2/17/26,Alex,,T10824_SURB3,T1,7/30/24,5/15/25,16,Diptera,Athericidae,L,BL,1,7.8,,,,,,,,,,,,,,
CV,2/17/26,Alex,,T10824_SURB3,T1,7/30/24,5/15/25,16,Coleoptera,Elmidae,L,BL,5,3.1,2.5,3.5,4,3.6,,,,,,,,,,
CV,2/17/26,Alex,,T10824_SURB3,T1,7/30/24,5/15/25,16,Coleoptera,Elmidae,A,BL,2,3,2.8,,,,,,,,,,,,,
CV,2/17/26,HA,,T10824_SURB4,T1,7/30/24,6/3/25,no data,Ephemeroptera,Ephemerellidae,L,BL,8,4.9,5.5,4.3,5.4,3.8,5.2,4.9,2.5,,,,221,TOTAL,,
CV,2/17/26,HA,,T10824_SURB4,T1,7/30/24,6/3/25,no data,Ephemeroptera,Heptageniidae,L,BL,12,5.4,5.7,5.6,2.9,7,7.9,5.8,3.3,2.7,3.5,,,,,
CV,2/17/26,HA,,T10824_SURB4,T1,7/30/24,6/3/25,no data,Ephemeroptera,Baetidae,L,BL,29,4.5,2.5,2.5,3.2,4.8,2.7,3.6,2.8,3.1,3.2,,,,,
CV,2/17/26,HA,,T10824_SURB4,T1,7/30/24,6/3/25,no data,Trichoptera,Brachycentridae,L,BL,10,9.1,4.8,10.3,7.2,11.1,11.3,10.8,8.9,,,,some brachys in transition to adult so were hard to take out in one piece,,,
CV,2/17/26,HA,,T10824_SURB4,T1,7/30/24,6/3/25,no data,Trichoptera,Glossosomatidae,L,BL,1,4.5,,,,,,,,,,,,,,
CV,2/17/26,HA,,T10824_SURB4,T1,7/30/24,6/3/25,no data,Trichoptera,Hydropsychidae,L,BL,2,6.7,13.5,,,,,,,,,,,,,
CV,2/17/26,HA,,T10824_SURB4,T1,7/30/24,6/3/25,no data,Trichoptera,Rhyacophilidae,L,BL,12,10.5,1.8,5.2,3.1,1.5,4.3,2.7,1.8,2,1.9,,,,,
CV,2/17/26,HA,,T10824_SURB4,T1,7/30/24,6/3/25,no data,Trichoptera,Lepidostomatidae,L,BL,25,2.1,2.2,2.4,2.4,2.3,2.6,3.6,3,2.6,2.6,,,,,
CV,2/17/26,HA,,T10824_SURB4,T1,7/30/24,6/3/25,no data,Coleoptera,Elmidae,L,BL,11,3.3,5.5,4.3,4.6,2.7,4.2,4,5.3,4.4,2.4,,,,,
CV,2/17/26,HA,,T10824_SURB4,T1,7/30/24,6/3/25,no data,Diptera,Chironomidae,L,BL,13,8.8,3.9,2.8,3.7,4.3,7.2,6.8,6.2,8.3,6.9,,,,,
CV,2/17/26,HA,,T10824_SURB4,T1,7/30/24,6/3/25,no data,Diptera,Simuliidae,L,BL,88,3.4,3.1,3,5.5,3.2,3.3,6.3,3.7,3.1,3.7,,,,,
CV,2/17/26,HA,,T10824_SURB4,T1,7/30/24,6/3/25,no data,Coleoptera,Elmidae,L,BL,7,3.2,3,3.2,3.1,2.8,3.3,3.1,,,,,,,,
CV,2/17/26,HA,,T10824_SURB4,T1,7/30/24,6/3/25,no data,Trichoptera,Glossosomatidae,A,BL,2,6,6,,,,,,,,,,,,,
CV,2/17/26,HA,,T10824_SURB4,T1,7/30/24,6/3/25,no data,Diptera,Chironomidae,A,BL,1,1.7,,,,,,,,,,,,,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Plecoptera,Perlidae,L,BL,1,24,,,,,,,,,,,243,TOTAL,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Ephemeroptera,Ephemerellidae,L,BL,18,12.2,6.4,4.2,4.7,4.5,4.2,4.9,4.1,3.7,5.2,,,,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Ephemeroptera,Heptageniidae,L,BL,25,5.9,3.7,4.7,4.3,7.1,3.8,4.9,3.5,6.5,7.1,,,,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Ephemeroptera,Baetidae,L,BL,33,3.7,2.8,4.5,4.6,3.4,3.1,5.4,2.8,3.8,2.6,,,,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Trichoptera,Brachycentridae,L,BL,12,9,10.5,9.4,10.9,5.4,2,11.4,7.7,-,-,,,,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Trichoptera,Glossosomatidae,L,BL,28,6,5.2,5.4,5.8,5.5,5.9,4.9,5.6,5.7,5.6,,,,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Trichoptera,Hydropsychidae,L,BL,2,8.3,7.4,,,,,,,,,,,,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Trichoptera,Rhyacophilidae,L,BL,2,9.3,9.1,,,,,,,,,,,,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Trichoptera,Lepidostomatidae,L,BL,41,2.2,6.8,2.1,2.4,1.7,2.3,4,2.5,2.4,2.7,,,,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Coleoptera,Elmidae,L,BL,9,3.4,3.3,3.1,3.4,3.1,2.8,3,2.9,2.3,,,,,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Diptera,Chironomidae,L,BL,22,3.7,3.1,2.4,6.5,7.6,8.6,5.9,5.6,3.7,9.4,,,,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Diptera,Simuliidae,L,BL,30,4.7,4.1,4.2,4,3.9,3.8,3.3,2.9,5.2,3.4,,,,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Trichoptera,Brachycentridae,P,BL,2,7,7.8,,,,,,,,,,,,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Trichoptera,Glossosomatidae,P,BL,8,5.5,4.3,5.5,5,4.5,4.6,4.5,5,,,,,,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Trichoptera,Lepidostomatidae,P,BL,2,5.9,5.3,,,,,,,,,,,,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Coleoptera,Elmidae,A,BL,2,2.8,2.9,,,,,,,,,,,,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Diptera,Simuliidae,A,BL,1,3.4,,,,,,,,,,,,,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Tricladida,Planariidae,A,BL,4,3.8,5.1,3.4,3.1,,,,,,,,,,,
CV,2/17/26,HA,,T10824_SURB5,T1,7/30/24,6/3/25,10,Diptera,Chironomidae,A,BL,1,1.6,,,,,,,,,,,,,,
CV,2/17/26,GS,,T20824_SURB1,T2,8/-/24,4/18/25,9,Plecoptera,Perlodidae,L,BL,1,3.2,,,,,,,,,,,put perlodidae in perlidae vial,,,
CV,2/17/26,GS,,T20824_SURB1,T2,8/-/24,4/18/25,9,Plecoptera,Perlidae,L,BL,2,36,39,,,,,,,,,,234,TOTAL,,
CV,2/17/26,GS,,T20824_SURB1,T2,8/-/24,4/18/25,9,Ephemeroptera,Ephemerellidae,L,BL,20,13.2,10.3,6.5,10.4,4.5,11.2,10.1,5.4,12.2,11.4,,,,,
CV,2/17/26,GS,,T20824_SURB1,T2,8/-/24,4/18/25,9,Ephemeroptera,Heptageniidae,L,BL,18,4.5,5.2,7.7,3.2,3.1,5,4.5,3.3,7,7.2,,,,,
CV,2/17/26,GS,,T20824_SURB1,T2,8/-/24,4/18/25,9,Ephemeroptera,Baetidae,L,BL,30,4.5,3.8,4.2,4.5,4.5,4.5,2.2,5.8,5.2,5.2,,,,,
CV,2/17/26,GS,,T20824_SURB1,T2,8/-/24,4/18/25,9,Trichoptera,Brachycentridae,L,BL,1,2,,,,,,,,,,,,,,
CV,2/17/26,GS,,T20824_SURB1,T2,8/-/24,4/18/25,9,Trichoptera,Glossosomatidae,L,BL,24,5.8,5.7,5.7,9.1,5.7,5.6,7.1,5.5,5,,,,,,
CV,2/17/26,GS,,T20824_SURB1,T2,8/-/24,4/18/25,9,Trichoptera,Glossosomatidae,L,HW,1,0.5,,,,,,,,,,,,,,
CV,2/17/26,GS,,T20824_SURB1,T2,8/-/24,4/18/25,9,Trichoptera,Hydropsychidae,L,BL,6,11.1,10.2,9.8,11.2,9.6,14.5,,,,,,,,,
CV,2/17/26,GS,,T20824_SURB1,T2,8/-/24,4/18/25,9,Trichoptera,Rhyacophilidae,L,BL,7,6.2,6.5,7.2,5.8,5.4,10.7,6.4,,,,,,,,
CV,2/17/26,GS,,T20824_SURB1,T2,8/-/24,4/18/25,9,Diptera,Chironomidae,L,BL,31,6.9,4.6,9.8,5.7,9.7,7.4,3,8.9,7.9,9.3,,,,,
CV,2/17/26,GS,,T20824_SURB1,T2,8/-/24,4/18/25,9,Diptera,Simuliidae,L,BL,80,6,6.5,5,4.5,6,4.6,4.5,5.8,5,6,,,,,
CV,2/17/26,GS,,T20824_SURB1,T2,8/-/24,4/18/25,9,Trichoptera,Glossosomatidae,A,BL,1,0.9,,,,,,,,,,,,,,
CV,2/17/26,GS,,T20824_SURB1,T2,8/-/24,4/18/25,9,Coleoptera,Elmidae,L,BL,11,5.4,4.1,4.9,5.4,4,4.1,2.9,4.6,4.6,4.5,,,,,
CV,2/17/26,GS,,T20824_SURB1,T2,8/-/24,4/18/25,9,Coleoptera,Elmidae,A,BL,1,3,,,,,,,,,,,,,,
CV,2/17/26,HA,,T20824_SURB2,T2,8/1/24,5/6/25,4,Ephemeroptera,Heptageniidae,L,BL,13,4.3,4.2,3.8,4.6,3.9,2.4,2,5.4,7.1,3.5,,lots of exoskeletons,,,
CV,2/17/26,HA,,T20824_SURB2,T2,8/1/24,5/6/25,4,Ephemeroptera,Baetidae,L,BL,22,4,4.1,3.5,3,3.1,3,3.2,2.5,2.6,3.2,,127,TOTAL,,
CV,2/17/26,HA,,T20824_SURB2,T2,8/1/24,5/6/25,4,Trichoptera,Brachycentridae,L,BL,6,10,7.1,6.9,10,9.4,7.5,,,,,,,,,
CV,2/17/26,HA,,T20824_SURB2,T2,8/1/24,5/6/25,4,Trichoptera,Glossosomatidae,L,BL,13,4.3,5.8,4.9,4.3,4.3,5.6,4.9,4.5,4.5,4.2,,,,,
CV,2/17/26,HA,,T20824_SURB2,T2,8/1/24,5/6/25,4,Trichoptera,Hydropsychidae,L,BL,4,10,13.5,16.3,10,,,,,,,,,,,
CV,2/17/26,HA,,T20824_SURB2,T2,8/1/24,5/6/25,4,Trichoptera,Lepidostomatidae,L,BL,7,2,2.1,2,1.2,2.9,2.5,4,,,,,,,,
CV,2/17/26,HA,,T20824_SURB2,T2,8/1/24,5/6/25,4,Diptera,Chironomidae,L,BL,8,5,4.3,7,2.2,3,3.4,3.2,4.3,,,,,,,
CV,2/17/26,HA,,T20824_SURB2,T2,8/1/24,5/6/25,4,Diptera,Chironomidae,P,BL,1,3.4,,,,,,,,,,,,,,
CV,2/17/26,HA,,T20824_SURB2,T2,8/1/24,5/6/25,4,Diptera,Simuliidae,L,BL,39,4,6.1,4.9,4.4,2.9,5.6,3.1,3.6,3.5,4,,,,,
CV,2/17/26,HA,,T20824_SURB2,T2,8/1/24,5/6/25,4,Diptera,Athericidae,L,BL,1,9,,,,,,,,,,,,,,
CV,2/17/26,HA,,T20824_SURB2,T2,8/1/24,5/6/25,4,Gastropoda,n/a,A,BL,1,4.7,,,,,,,,,,,,,,
CV,2/17/26,HA,,T20824_SURB2,T2,8/1/24,5/6/25,4,Coleoptera,Elmidae,L,BL,12,2.4,4,2.2,3,3.7,3.4,3,3.7,3.7,2.2,,,,,
CV,2/17/26,Alex,,T20824_SURB3,T2,8/-/24,5/8/25,3,Ephemeroptera,Ephemerellidae,L,BL,3,14.5,14.4,12.3,,,,,,,,,231,TOTAL,,
CV,2/17/26,Alex,,T20824_SURB3,T2,8/-/24,5/8/25,3,Ephemeroptera,Heptageniidae,L,BL,6,4.6,6.5,8.1,4.2,6.4,3.8,,,,,,,,,
CV,2/17/26,Alex,,T20824_SURB3,T2,8/-/24,5/8/25,3,Ephemeroptera,Baetidae,L,BL,2,4.2,2.5,,,,,,,,,,,,,
CV,2/17/26,Alex,,T20824_SURB3,T2,8/-/24,5/8/25,3,Ephemeroptera,Baetidae,P,BL,1,6.2,,,,,,,,,,,,,,
CV,2/17/26,Alex,,T20824_SURB3,T2,8/-/24,5/8/25,3,Trichoptera,Glossosomatidae,L,BL,4,3.9,5.2,6.4,5.4,,,,,,,,,,,
CV,2/17/26,Alex,,T20824_SURB3,T2,8/-/24,5/8/25,3,Trichoptera,Hydropsychidae,L,BL,2,10.9,11.3,,,,,,,,,,,,,
CV,2/17/26,Alex,,T20824_SURB3,T2,8/-/24,5/8/25,3,Trichoptera,Lepidostomatidae,L,BL,4,6.3,1.9,2.5,3.4,,,,,,,,,,,
CV,2/17/26,Alex,,T20824_SURB3,T2,8/-/24,5/8/25,3,Diptera,Chironomidae,L,BL,13,7,8.5,6.2,3.5,2,6.5,4,3.8,3,3.3,,,,,
CV,2/17/26,Alex,,T20824_SURB3,T2,8/-/24,5/8/25,3,Diptera,Simuliidae,L,BL,190,6.5,5.9,6.6,6.6,5.5,5.4,5.1,5.2,5.8,6.3,,,,,
CV,2/17/26,Alex,,T20824_SURB3,T2,8/-/24,5/8/25,3,Coleoptera,Elmidae,L,BL,6,4.2,2.7,4,4.1,4.1,4.2,,,,,,,,,
CV,2/17/26,HA,,T20824_SURB4,T2,8/1/24,5/8/25,no data,Ephemeroptera,Ephemerellidae,L,BL,4,10.8,6.2,4.1,12.1,,,,,,,,263,TOTAL,,
CV,2/17/26,HA,,T20824_SURB4,T2,8/1/24,5/8/25,no data,Ephemeroptera,Heptageniidae,L,BL,20,4.4,7.9,3.1,3.7,3.4,3,2.1,2.9,2.6,2,,,,,
CV,2/17/26,HA,,T20824_SURB4,T2,8/1/24,5/8/25,no data,Ephemeroptera,Baetidae,L,BL,15,3.7,1,1.5,2.7,3.9,2.5,3.5,2.7,2.5,2.7,,,,,
CV,2/17/26,HA,,T20824_SURB4,T2,8/1/24,5/8/25,no data,Ephemeroptera,Leptophlebidae,L,BL,1,4.3,,,,,,,,,,,,,,
CV,2/17/26,HA,,T20824_SURB4,T2,8/1/24,5/8/25,no data,Trichoptera,Brachycentridae,L,BL,4,8.7,9.7,8,6.1,,,,,,,,,,,
CV,2/17/26,HA,,T20824_SURB4,T2,8/1/24,5/8/25,no data,Trichoptera,Glossosomatidae,L,BL,4,5.5,6.2,8.7,10.2,,,,,,,,,,,
CV,2/17/26,HA,,T20824_SURB4,T2,8/1/24,5/8/25,no data,Trichoptera,Glossosomatidae,L,HW,1,0.5,,,,,,,,,,,,,,
CV,2/17/26,HA,,T20824_SURB4,T2,8/1/24,5/8/25,no data,Trichoptera,Hydropsychidae,L,BL,2,10.9,14.2,,,,,,,,,,,,,
CV,2/17/26,HA,,T20824_SURB4,T2,8/1/24,5/8/25,no data,Trichoptera,Rhyacophilidae,L,BL,4,4.2,9.2,12.3,12.5,,,,,,,,,,,
CV,2/17/26,HA,,T20824_SURB4,T2,8/1/24,5/8/25,no data,Trichoptera,Lepidostomatidae,L,BL,5,3.1,3.5,3,2.8,2.1,,,,,,,,,,
CV,2/17/26,HA,,T20824_SURB4,T2,8/1/24,5/8/25,no data,Diptera,Chironomidae,L,BL,18,6.2,6.1,7.4,6.1,3.5,4.2,2.1,1.9,1.9,1.5,,,,,
CV,2/17/26,HA,,T20824_SURB4,T2,8/1/24,5/8/25,no data,Diptera,Simuliidae,L,BL,173,3.2,4,5.2,5.3,5.5,4.7,5.5,5.9,5.2,3.7,,,,,
CV,2/17/26,HA,,T20824_SURB4,T2,8/1/24,5/8/25,no data,Coleoptera,Elmidae,L,BL,12,3.7,3.4,3.7,2.8,4,2.8,3.2,3.5,2.1,2.5,,,,,
CV,2/17/26,AW,,T20824_SURB5,T2,8/1/24,5/8/25,4,Ephemeroptera,Ephemerellidae,L,BL,5,10.6,11.3,11.9,11.2,12,,,,,,,,,,
CV,2/17/26,AW,,T20824_SURB5,T2,8/1/24,5/8/25,4,Ephemeroptera,Heptageniidae,L,BL,10,9.1,7.4,2.7,4.4,6.2,3.2,3.9,6.7,3.5,2.7,,,,,
CV,2/17/26,AW,,T20824_SURB5,T2,8/1/24,5/8/25,4,Ephemeroptera,Baetidae,L,BL,12,5.2,4.1,3.6,5.4,5.8,5.2,6.5,5.7,3.7,3.9,,,,,
CV,2/17/26,AW,,T20824_SURB5,T2,8/1/24,5/8/25,4,Trichoptera,Brachycentridae,L,BL,3,10.7,2.2,1.8,,,,,,,,,,,,
CV,2/17/26,AW,,T20824_SURB5,T2,8/1/24,5/8/25,4,Trichoptera,Glossosomatidae,L,BL,3,8.3,6.2,2.3,,,,,,,,,,,,
CV,2/17/26,AW,,T20824_SURB5,T2,8/1/24,5/8/25,4,Trichoptera,Glossosomatidae,P,BL,1,6.3,,,,,,,,,,,,,,
CV,2/17/26,AW,,T20824_SURB5,T2,8/1/24,5/8/25,4,Trichoptera,Hydropsychidae,L,BL,1,9.6,,,,,,,,,,,,,,
CV,2/17/26,AW,,T20824_SURB5,T2,8/1/24,5/8/25,4,Diptera,Chironomidae,L,BL,5,5,5.7,2.6,7.7,10,,,,,,,,,,
CV,2/17/26,AW,,T20824_SURB5,T2,8/1/24,5/8/25,4,Diptera,Simuliidae,L,BL,189,4.9,3.5,4.3,5.7,3.9,4.9,3.8,4.8,6.6,6.5,,,,,
CV,2/17/26,HA/AW,,T30824_SURB1,T3,7/29/24,6/5/25,16,Ephemeroptera,Ephemerellidae,L,BL,9,3.9,4.2,4,3.7,5.1,5.2,3.8,4.2,4,,,133 TOTAL,,,
CV,2/17/26,HA/AW,,T30824_SURB1,T3,7/29/24,6/5/25,16,Ephemeroptera,Baetidae,L,BL,23,2.9,2.5,3,2,3,2.7,3,2.1,2.5,2.7,,,,,
CV,2/17/26,HA/AW,,T30824_SURB1,T3,7/29/24,6/5/25,16,Trichoptera,Brachycentridae,L,BL,1,8,,,,,,,,,,,,,,
CV,2/17/26,HA/AW,,T30824_SURB1,T3,7/29/24,6/5/25,16,Trichoptera,Glossosomatidae,L,BL,24,5.8,3,5.9,5.8,4.9,3.8,3.2,5.5,6.2,4.2,,,,,
CV,2/17/26,HA/AW,,T30824_SURB1,T3,7/29/24,6/5/25,16,Trichoptera,Hydropsychidae,L,BL,3,10,6.5,9.1,,,,,,,,,,,,
CV,2/17/26,HA/AW,,T30824_SURB1,T3,7/29/24,6/5/25,16,Trichoptera,Lepidostomatidae,L,BL,8,1.1,1.8,2,2.4,2.3,2.5,2.6,2.7,,,,,,,
CV,2/17/26,HA/AW,,T30824_SURB1,T3,7/29/24,6/5/25,16,Diptera,Chironomidae,L,BL,30,8,5.2,6.5,3.9,3.1,9.2,4.5,3.2,3.3,2.3,,,,,
