Sampling_date,Site,Replicate_number,Cyano,Green,Diatoms,Chlorophyll A,Velocity,Sample Type
2024-11-14,C1.5,7,0.14,0.61,0.1,0.85,0.17,Top rock
2024-11-14,C1.5,8,0.31,0.35,0.3,0.96,0.2,Top rock
2024-11-14,C1.5,9,0.23,0.45,0.19,0.87,0.12,Top rock
2024-11-14,C1.5,10,0.12,0.19,0.03,0.34,0.27,Top rock
2024-11-14,C1.5,11,0.12,0.99,0.05,1.16,0.17,Top rock
2024-11-14,C1.5,12,0.07,0.09,0,0.16,0.23,Top rock
2024-11-14,C1.5,13,0.22,0.19,0,0.41,0.22,Top rock
2024-11-14,C1.5,14,0.53,0,0.4,0.93,0.69,Top rock
2024-11-14,C1.5,15,0.09,0.26,0,0.35,0.38,Top rock
2024-11-14,C1.5,16,1.14,0,0.4,1.54,0.32,Top rock
2024-11-14,C1.5,17,0.11,0.04,0,0.15,0.43,Top rock
2024-11-14,C1.5,18,0.2,0.03,0,0.23,0.68,Top rock
2024-11-14,C1.5,19,0.2,0.48,0,0.68,0.26,Top rock
2024-11-14,C1.5,20,0.17,0.47,0,0.64,0.42,Top rock
2024-11-14,C2,1,0.1,0.23,0,0.33,0.22,Top rock
2024-11-14,C2,2,0.07,0.23,0,0.3,0.24,Top rock
2024-11-14,C2,3,0.14,0.56,0,0.7,0.3,Top rock
2024-11-14,C2,4,0.24,0.09,0.41,0.74,0.04,Top rock
2024-11-14,C2,5,0.11,0.2,0,0.31,0.39,Top rock
2024-11-14,C2,6,0.09,0.12,0,0.21,0.34,Top rock
2024-11-14,C2,7,0.36,0.18,0.15,0.69,0.54,Top rock
2024-11-14,C2,8,0.04,0.02,0,0.06,0.33,Top rock
2024-11-14,C2,9,0.01,0.08,0,0.09,0.11,Top rock
2024-11-14,C2,10,0.17,0.2,0.16,0.53,0.06,Top rock
2024-11-14,C2,11,0.09,0.26,0,0.35,0.54,Top rock
2024-11-14,C2,12,0.11,0.51,0,0.62,0.32,Top rock
2024-11-14,C2,13,0.38,0.52,0.58,1.48,0.57,Top rock
2024-11-14,C2,14,0.1,0.04,0,0.14,0.27,Top rock
2024-11-14,C2,15,0.05,0.05,0,0.1,0.34,Top rock
2024-11-14,C2,16,0.27,0.64,0,0.91,0.03,Top rock
2024-11-14,C2,17,0.4,0,0.17,0.57,0.79,Top rock
2024-11-14,C2,18,0.14,0.76,0.02,0.92,0.54,Top rock
2024-11-14,C2,19,0.28,0,0.44,0.72,0.16,Top rock
2024-11-14,C2,20,0.14,0.21,0,0.35,0.21,Top rock
2024-11-14,T1,1,0.14,0.29,0,0.43,0.25,Top rock
2024-11-14,T1,2,0.19,0.04,0,0.23,0.16,Top rock
2024-11-14,T1,3,0.4,0,1.97,2.37,0.04,Top rock
2024-11-14,T1,4,0.29,0.05,1.15,1.49,0.04,Top rock
2024-11-14,T1,5,0.17,0.25,0,0.42,0.3,Top rock
2024-11-14,T1,6,0.26,0.05,0.46,0.77,0,Top rock
2024-11-14,T1,7,0.14,0.11,0,0.25,0.31,Top rock
2024-11-14,T1,8,0.05,0.19,0,0.24,0.36,Top rock
2024-11-14,T1,9,0.12,0.4,0,0.52,0.3,Top rock
2024-11-14,T1,10,0.23,0.36,0.13,0.72,0.22,Top rock
2024-11-14,T1,11,0.19,0.37,0.09,0.65,0.16,Top rock
2024-11-14,T1,12,0.27,0,0.63,0.9,-0.01,Top rock
2024-11-14,T1,13,0.1,0,0,0.1,0.18,Top rock
2024-11-14,T1,14,0.09,0.06,0,0.15,0.18,Top rock
2024-11-14,T1,15,0.08,0.21,0,0.29,0.02,Top rock
2024-11-14,T1,16,0.22,0.26,0.02,0.5,0.1,Top rock
2024-11-14,T1,17,0.07,0.13,0,0.2,0.33,Top rock
2024-11-14,T1,18,0.09,0.05,0,0.14,0.21,Top rock
2024-11-14,T1,19,0.35,0.15,1.5,2,0.08,Top rock
2024-11-14,T1,20,0.2,0.32,0.08,0.6,0.23,Top rock
2024-11-14,T2,1,0.49,0,2.54,3.03,0.12,Top rock
2024-11-14,T2,2,0.29,0.53,0.86,1.68,0.19,Top rock
2024-11-14,T2,3,0.26,0.44,0,0.7,0.31,Top rock
2024-11-14,T2,4,0.69,0,1.15,1.84,0.09,Top rock
2024-11-14,T2,5,0.53,0,0.7,1.23,0.22,Top rock
2024-11-14,T2,6,0.2,0.48,0.01,0.69,0.23,Top rock
2024-11-14,T2,7,0.31,0.39,1.5,2.2,0.22,Top rock
2024-11-14,T2,8,0.29,0.99,0.99,2.27,0.24,Top rock
2024-11-14,T2,9,0.01,0.22,0,0.23,0.18,Top rock
2024-11-14,T2,10,0.84,0,2.35,3.19,0.11,Top rock
2024-11-14,T2,11,0.43,0.08,1.91,2.42,0.04,Top rock
2024-11-14,T2,12,1.19,0,5.81,7,0.17,Top rock
2024-11-14,T2,13,0.32,0.19,0.47,0.98,0.15,Top rock
2024-11-14,T2,14,0.4,0.17,0.45,1.02,0.2,Top rock
2024-11-14,T2,15,0.68,0.21,1.61,2.5,0.08,Top rock
2024-11-14,T2,16,1.23,0,3.87,5.1,0.07,Top rock
2024-11-14,T2,17,0.01,0.01,0,0.02,0.29,Top rock
2024-11-14,T2,18,0.25,0.37,0.21,0.83,0.09,Top rock
2024-11-14,T2,19,0.5,0.63,0.72,1.85,0.28,Top rock
2024-11-14,T2,20,2.27,0.68,6.57,9.52,0.22,Top rock
2024-11-14,T3,1,0.05,0.21,0,0.26,0.3,Top rock
2024-11-14,T3,2,0.05,0.07,0,0.12,0.26,Top rock
2024-11-14,T3,3,0.08,0.26,0,0.34,0.24,Top rock
2024-11-14,T3,4,0.06,0.08,0,0.14,0.25,Top rock
2024-11-14,T3,5,0.27,0,1.07,1.34,0.12,Top rock
2024-11-14,T3,6,0.16,0.43,0.28,0.87,0.1,Top rock
2024-11-14,T3,7,0.59,0.22,0.15,0.96,0.26,Top rock
2024-11-14,T3,8,0.26,0.16,0.42,0.84,0.15,Top rock
2024-11-14,T3,9,0.16,0.22,0.21,0.59,0.1,Top rock
2024-11-14,T3,10,0.15,0.13,0,0.28,0.29,Top rock
2024-11-14,T3,11,0.12,0.19,0,0.31,0.25,Top rock
2024-11-14,T3,12,0.04,0.01,0,0.05,0.32,Top rock
2024-11-14,T3,13,0.1,0.04,0,0.14,0.21,Top rock
2024-11-14,T3,14,0.09,0.08,0,0.17,0.11,Top rock
2024-11-14,T3,15,0.08,0.22,0,0.3,0.14,Top rock
2024-11-14,T3,16,0.03,0.18,0,0.21,0.05,Top rock
2024-11-14,T3,17,0.16,0,0.47,0.63,0.04,Top rock
2024-11-14,T3,18,0.07,0.18,0,0.25,0.17,Top rock
2024-11-14,T3,19,0.03,0.14,0,0.17,0.08,Top rock
2024-11-14,T3,20,0.04,0.1,0,0.14,0.14,Top rock
2025-01-16,C1.5,1,0.68,0,1.36,2.04,0.54,Top rock
2025-01-16,C1.5,2,0.01,0.26,0,0.27,0.22,Top rock
2025-01-16,C1.5,3,0.09,0.2,0.25,0.54,0.43,Top rock
2025-01-16,C1.5,4,0.07,0.29,0,0.36,0.51,Top rock
2025-01-16,C1.5,5,0.19,0.11,0.43,0.73,0.38,Top rock
2025-01-16,C1.5,6,0.29,0.29,0.48,1.06,0.14,Top rock
2025-01-16,C1.5,7,0.43,0,1.4,1.83,0,Top rock
2025-01-16,C1.5,8,0.16,0.19,0.61,0.96,0.19,Top rock
2025-01-16,C1.5,9,0.04,0.31,0.04,0.39,0.21,Top rock
2025-01-16,C1.5,10,0.18,0,0.58,0.76,0.08,Top rock
2025-01-16,C1.5,11,0.11,0.18,0.26,0.55,0.12,Top rock
2025-01-16,C1.5,12,0.09,0.3,0.22,0.61,0.35,Top rock
2025-01-16,C1.5,13,0.08,0.04,0,0.12,0.45,Top rock
2025-01-16,C1.5,14,0.05,0.33,0,0.38,0.4,Top rock
2025-01-16,C1.5,15,0.09,0.1,0,0.19,0.52,Top rock
2025-01-16,C1.5,16,0.12,0.1,0,0.22,0.58,Top rock
2025-01-16,C1.5,17,0.05,0.15,0,0.2,0.26,Top rock
2025-01-16,C1.5,18,0.09,0.53,0.11,0.73,0.26,Top rock
2025-01-16,C1.5,19,0.07,0.3,0.06,0.43,0.24,Top rock
2025-01-16,C1.5,20,0.07,0.49,0,0.56,0.29,Top rock
2025-01-16,C2,1,0.11,0.35,0.85,1.31,0.49,Top rock
2025-01-16,C2,2,0.06,0.7,0.04,0.8,0.51,Top rock
2025-01-16,C2,3,0.13,0.71,0.33,1.17,0.63,Top rock
2025-01-16,C2,4,0.11,0.59,0.56,1.26,0.24,Top rock
2025-01-16,C2,5,1.04,0,2.02,3.06,0.42,Top rock
2025-01-16,C2,6,0.13,0.13,0,0.26,0.61,Top rock
2025-01-16,C2,7,0.31,0.25,1.01,1.57,0.54,Top rock
2025-01-16,C2,8,0.13,0.34,0.27,0.74,0.32,Top rock
2025-01-16,C2,9,0.02,0.62,0,0.64,0.27,Top rock
2025-01-16,C2,10,0,0.47,0,0.47,0.37,Top rock
2025-01-16,C2,11,0.1,0.38,0.16,0.64,0.41,Top rock
2025-01-16,C2,12,0.09,0.35,0.25,0.69,0.09,Top rock
2025-01-16,C2,13,0.16,0.4,0.52,1.08,0.17,Top rock
2025-01-16,C2,14,0.04,0.52,0,0.56,0.37,Top rock
2025-01-16,C2,15,0.1,0.42,0.26,0.78,0.23,Top rock
2025-01-16,C2,16,0.49,0,1.8,2.29,0.05,Top rock
2025-01-16,C2,17,0.5,0,3.74,4.24,0.11,Top rock
2025-01-16,C2,18,0.18,0.31,0.04,0.53,0.44,Top rock
2025-01-16,C2,19,0.06,0.16,0,0.22,0.44,Top rock
2025-01-16,C2,20,0.22,0.24,0,0.46,0.55,Top rock
2025-01-16,T1,1,0.18,0.03,0.71,0.92,0.11,Top rock
2025-01-16,T1,2,0.2,0.18,0.29,0.67,0.39,Top rock
2025-01-16,T1,3,0.15,0.14,1.22,1.51,0.27,Top rock
2025-01-16,T1,4,0.26,0.11,0.86,1.23,0.36,Top rock
2025-01-16,T1,5,0.37,0,3.2,3.57,0.26,Top rock
2025-01-16,T1,6,0.36,0,2.44,2.8,0.25,Top rock
2025-01-16,T1,7,0.72,0,3.44,4.16,0.05,Top rock
2025-01-16,T1,8,0.21,0,1.09,1.3,0.24,Top rock
2025-01-16,T1,9,0.13,0.56,1.18,1.87,0.09,Top rock
2025-01-16,T1,10,0.95,0,4.58,5.53,0.31,Top rock
2025-01-16,T1,11,0.29,0,2.62,2.91,0.33,Top rock
2025-01-16,T1,12,0.64,0,3.52,4.16,0.22,Top rock
2025-01-16,T1,13,0.35,0,2.38,2.73,0.14,Top rock
2025-01-16,T1,14,0.39,0.01,1.67,2.07,0.23,Top rock
2025-01-16,T1,15,0.11,0.06,0.65,0.82,0.51,Top rock
2025-01-16,T1,16,0.09,0.11,0.42,0.62,0.28,Top rock
2025-01-16,T1,17,0.39,0,1.7,2.09,0.12,Top rock
2025-01-16,T1,18,0.14,0,0.7,0.84,0.34,Top rock
2025-01-16,T1,19,0.33,0,1.2,1.53,0.07,Top rock
2025-01-16,T1,20,0.18,0,1.14,1.32,0.34,Top rock
2025-01-16,T2,1,0.32,0,0.88,1.2,0.2,Top rock
2025-01-16,T2,2,0.35,0,1.28,1.63,0.28,Top rock
2025-01-16,T2,3,0.36,0,0.88,1.24,0.23,Top rock
2025-01-16,T2,4,0.55,0,2.09,2.64,0.18,Top rock
2025-01-16,T2,5,0.19,0.53,0.32,1.04,0.17,Top rock
2025-01-16,T2,6,0.39,0,1.39,1.78,0.11,Top rock
2025-01-16,T2,7,1.36,0,8.28,9.64,0.03,Top rock
2025-01-16,T2,8,0.18,0,0.82,1,0.15,Top rock
2025-01-16,T2,9,0.38,0,1.54,1.92,0.06,Top rock
2025-01-16,T2,10,0.58,0,1.94,2.52,0.03,Top rock
2025-01-16,T2,11,0.17,0,0.61,0.78,0.03,Top rock
2025-01-16,T2,12,0.86,0,3.68,4.54,0.11,Top rock
2025-01-16,T2,13,0.41,0,1.31,1.72,0.15,Top rock
2025-01-16,T2,14,0.4,0,1.21,1.61,0.19,Top rock
2025-01-16,T2,15,0.36,0,0.99,1.35,0.13,Top rock
2025-01-16,T2,16,0.12,0.54,0,0.66,0.23,Top rock
2025-01-16,T2,17,0.4,0.19,0.91,1.5,0.3,Top rock
2025-01-16,T2,18,0.56,0,1.93,2.49,0.22,Top rock
2025-01-16,T2,19,0.28,0.48,0.75,1.51,0.24,Top rock
2025-01-16,T2,20,0.06,0.21,0.08,0.35,0,Top rock
2025-01-16,T3,1,0.58,0,1.28,1.86,0.34,Top rock
2025-01-16,T3,2,0.08,0.16,0.09,0.33,0.18,Top rock
2025-01-16,T3,3,0.05,0.27,0.03,0.35,0.08,Top rock
2025-01-16,T3,4,0.08,0.05,0,0.13,0.23,Top rock
2025-01-16,T3,5,0.31,0,0.6,0.91,0.2,Top rock
2025-01-16,T3,6,0.13,0.18,0,0.31,0.27,Top rock
2025-01-16,T3,7,0,0.14,0,0.14,0.31,Top rock
2025-01-16,T3,8,0.06,0.16,0,0.22,0.2,Top rock
2025-01-16,T3,9,0.06,0.28,0.02,0.36,0.13,Top rock
2025-01-16,T3,10,0.05,0.12,0,0.17,0.18,Top rock
2025-01-16,T3,11,0.11,0.09,0.32,0.52,0.11,Top rock
2025-01-16,T3,12,0.09,0.07,0.32,0.48,0.22,Top rock
2025-01-16,T3,13,0.21,0,0.45,0.66,0.49,Top rock
2025-01-16,T3,14,0.06,0.2,0.03,0.29,0.21,Top rock
2025-01-16,T3,15,0.04,0.24,0,0.28,0.24,Top rock
2025-01-16,T3,16,0.09,0.24,0,0.33,0.25,Top rock
2025-01-16,T3,17,0.17,0,0.7,0.87,0.18,Top rock
2025-01-16,T3,18,0.05,0.07,0,0.12,0.12,Top rock
2025-01-16,T3,19,0.15,0.02,0.39,0.56,0.18,Top rock
2025-01-16,T3,20,0.07,0.16,0,0.23,0.3,Top rock
2025-03-11,C1.5,1,0.02,0,0,0.02,0.39,Top rock
2025-03-11,C1.5,2,0.02,0.15,0,0.17,0.46,Top rock
2025-03-11,C1.5,3,0.35,0,1.8,2.15,0.22,Top rock
2025-03-11,C1.5,4,0.08,0.28,0,0.36,0.38,Top rock
2025-03-11,C1.5,5,0.02,0.02,0,0.04,0.47,Top rock
2025-03-11,C1.5,6,0.03,0.3,0,0.33,0.14,Top rock
2025-03-11,C1.5,7,0.05,0.2,0.09,0.34,0.08,Top rock
2025-03-11,C1.5,8,0.15,0.05,0,0.2,0.46,Top rock
2025-03-11,C1.5,9,0.02,0.08,0,0.1,0.4,Top rock
2025-03-11,C1.5,10,0.43,0.11,0,0.54,0.31,Top rock
2025-03-11,C1.5,11,0.01,0.02,0,0.03,0.71,Top rock
2025-03-11,C1.5,12,0.04,0.05,0,0.09,0.58,Top rock
2025-03-11,C1.5,13,0.02,0.02,0,0.04,0.6,Top rock
2025-03-11,C1.5,14,0.03,0,0,0.03,0.67,Top rock
2025-03-11,C1.5,15,0.01,0.03,0,0.04,0.37,Top rock
2025-03-11,C1.5,16,0.18,0,0.52,0.7,0.39,Top rock
2025-03-11,C1.5,17,0.01,0.04,0,0.05,0.32,Top rock
2025-03-11,C1.5,18,0.05,0.35,0,0.4,0.2,Top rock
2025-03-11,C1.5,19,0,0.07,0,0.07,0.05,Top rock
2025-03-11,C1.5,20,0.03,0.18,0,0.21,0.36,Top rock
2025-03-11,C2,1,0.09,0.22,0.24,0.55,0.01,Top rock
2025-03-11,C2,2,0.01,0,0,0.01,0.26,Top rock
2025-03-11,C2,3,0.03,0.03,0,0.06,0.44,Top rock
2025-03-11,C2,4,0.17,0,1.35,1.52,0.28,Top rock
2025-03-11,C2,5,0.18,0,0.84,1.02,0.12,Top rock
2025-03-11,C2,6,0.06,0.08,0,0.14,0.16,Top rock
2025-03-11,C2,7,0.02,0.11,0,0.13,0.22,Top rock
2025-03-11,C2,8,0,0.14,0,0.14,0.26,Top rock
2025-03-11,C2,9,0.07,0,0,0.07,0.51,Top rock
2025-03-11,C2,10,0.01,0.07,0,0.08,0.32,Top rock
2025-03-11,C2,11,0.02,0.3,0,0.32,0.22,Top rock
2025-03-11,C2,12,0.02,0.05,0,0.07,0.37,Top rock
2025-03-11,C2,13,0.01,0.03,0,0.04,0.42,Top rock
2025-03-11,C2,14,0.04,0.02,0,0.06,0.28,Top rock
2025-03-11,C2,15,0.08,0.23,0,0.31,0.51,Top rock
2025-03-11,C2,16,0.68,0.15,0.13,0.96,0.22,Top rock
2025-03-11,C2,17,0.3,0,1.75,2.05,0.06,Top rock
2025-03-11,C2,18,0.01,0,0,0.01,0.42,Top rock
2025-03-11,C2,19,0.01,0,0,0.01,0.47,Top rock
2025-03-11,C2,20,0.26,0,1.37,1.63,0.13,Top rock
2025-03-11,T1,1,0.09,0.12,0.28,0.49,0.06,Top rock
2025-03-11,T1,2,0.25,0,1.32,1.57,0.12,Top rock
2025-03-11,T1,3,0.04,0.31,0,0.35,0.27,Top rock
2025-03-11,T1,4,0.02,0.01,0,0.03,0.2,Top rock
2025-03-11,T1,5,0.05,0.4,0,0.45,0.08,Top rock
2025-03-11,T1,6,0.02,0.02,0,0.04,0.33,Top rock
2025-03-11,T1,7,0,0,0,0,0.48,Top rock
2025-03-11,T1,8,0.14,0,0.5,0.64,0.03,Top rock
2025-03-11,T1,9,0.19,0,0.9,1.09,-0.02,Top rock
2025-03-11,T1,10,0.07,0.14,0.15,0.36,0.21,Top rock
2025-03-11,T1,11,0.08,0.12,0.11,0.31,0.04,Top rock
2025-03-11,T1,12,1.79,0,4.85,6.64,0.06,Top rock
2025-03-11,T1,13,0.01,0,0,0.01,0.32,Top rock
2025-03-11,T1,14,0.01,0.01,0,0.02,0.14,Top rock
2025-03-11,T1,15,0.08,0.07,0,0.15,-0.03,Top rock
2025-03-11,T1,16,0.04,0.12,0,0.16,0.14,Top rock
2025-03-11,T1,17,0.4,0,1.62,2.02,0.24,Top rock
2025-03-11,T1,18,0.22,0,0.92,1.14,0.2,Top rock
2025-03-11,T1,19,0.02,0.06,0,0.08,0.4,Top rock
2025-03-11,T1,20,0.52,0,2.52,3.04,0.07,Top rock
2025-03-11,T2,1,0.06,0.23,0.16,0.45,0.24,Top rock
2025-03-11,T2,2,0.35,0,0.71,1.06,0.17,Top rock
2025-03-11,T2,3,0.5,0,1.51,2.01,0.2,Top rock
2025-03-11,T2,4,0.65,0,1.53,2.18,0.29,Top rock
2025-03-11,T2,5,0.52,0,1.25,1.77,0.12,Top rock
2025-03-11,T2,6,0.17,0.02,0.44,0.63,0.11,Top rock
2025-03-11,T2,7,0.45,0,1.44,1.89,0.17,Top rock
2025-03-11,T2,8,0.25,0,0.72,0.97,0.17,Top rock
2025-03-11,T2,9,2.26,0,5.31,7.57,0.13,Top rock
2025-03-11,T2,10,0.3,0,1.23,1.53,0.06,Top rock
2025-03-11,T2,11,0.68,0,4.23,4.91,0.03,Top rock
2025-03-11,T2,12,0.42,0,1.67,2.09,0.08,Top rock
2025-03-11,T2,13,0.21,0,0.73,0.94,0.06,Top rock
2025-03-11,T2,14,0.41,0,1.15,1.56,0.02,Top rock
2025-03-11,T2,15,0.62,0,2.37,2.99,0.11,Top rock
2025-03-11,T2,16,0.11,0,0.27,0.38,0.18,Top rock
2025-03-11,T2,17,0.38,0,1.04,1.42,0.16,Top rock
2025-03-11,T2,18,0.31,0,0.67,0.98,0.3,Top rock
2025-03-11,T2,19,0.09,0.11,0.17,0.37,0.25,Top rock
2025-03-11,T2,20,0.51,0,1.28,1.79,0.17,Top rock
2025-05-21,C1.5,1,0,0.03,0,0.03,0.29,Top rock
2025-05-21,C1.5,2,0.07,0.04,0,0.11,0.42,Top rock
2025-05-21,C1.5,3,0.01,0.21,0,0.22,0.21,Top rock
2025-05-21,C1.5,4,0.07,0.22,0,0.29,0.52,Top rock
2025-05-21,C1.5,5,0.01,0.01,0,0.02,0.27,Top rock
2025-05-21,C1.5,6,0.04,0.22,0,0.26,0.28,Top rock
2025-05-21,C1.5,7,0.07,0.13,0,0.2,0.14,Top rock
2025-05-21,C1.5,8,0.02,0.08,0,0.1,0.35,Top rock
2025-05-21,C1.5,9,0.04,0.02,0,0.06,0.21,Top rock
2025-05-21,C1.5,10,0.04,0.05,0,0.09,0.57,Top rock
2025-05-21,C1.5,11,0.06,0.27,0,0.33,0.54,Top rock
2025-05-21,C1.5,12,0.02,0.05,0,0.07,0.54,Top rock
2025-05-21,C1.5,13,0.24,0.09,0,0.33,0.37,Top rock
2025-05-21,C1.5,14,0.23,0,0,0.23,0.3,Top rock
2025-05-21,C1.5,15,0.04,0.21,0,0.25,0.3,Top rock
2025-05-21,C1.5,16,0.15,0.32,0,0.47,0.49,Top rock
2025-05-21,C1.5,17,0.02,0.02,0,0.04,0.61,Top rock
2025-05-21,C1.5,18,0.05,0.34,0,0.39,0.4,Top rock
2025-05-21,C1.5,19,0.11,0.37,0,0.48,0.31,Top rock
2025-05-21,C1.5,20,0.05,0.16,0,0.21,0.33,Top rock
2025-05-23,C2,1,0,0.01,0,0.01,0.34,Top rock
2025-05-23,C2,2,0.05,0.1,0,0.15,0.49,Top rock
2025-05-23,C2,3,0.02,0.23,0,0.25,0.67,Top rock
2025-05-23,C2,4,0.02,0,0,0.02,0.26,Top rock
2025-05-23,C2,5,0.03,0.17,0,0.2,0.47,Top rock
2025-05-23,C2,6,0.06,0.01,0,0.07,0.33,Top rock
2025-05-23,C2,7,0,0.17,0,0.17,0.34,Top rock
2025-05-23,C2,8,0.06,0.19,0,0.25,0.18,Top rock
2025-05-23,C2,9,0.04,0.13,0,0.17,0.1,Top rock
2025-05-23,C2,10,0.13,0.2,0,0.33,0.17,Top rock
2025-05-23,C2,11,0.06,0.06,0,0.12,0.33,Top rock
2025-05-23,C2,12,0,0.13,0,0.13,0.27,Top rock
2025-05-23,C2,13,0.06,0.43,0,0.49,0.25,Top rock
2025-05-23,C2,14,0.02,0.09,0,0.11,0.55,Top rock
2025-05-23,C2,15,0.18,0.14,0,0.32,0.25,Top rock
2025-05-23,C2,16,0.15,0.01,0,0.16,0.57,Top rock
2025-05-23,C2,17,0.07,0.52,0,0.59,0.3,Top rock
2025-05-23,C2,18,0.32,0.03,0,0.35,0.5,Top rock
2025-05-23,C2,19,0.01,0.21,0,0.22,0.25,Top rock
2025-05-23,C2,20,0.03,0.09,0,0.12,0.48,Top rock
2025-05-19,T1,1,1.44,0,7.63,9.07,0.15,Top rock
2025-05-19,T1,2,0.12,0.01,0,0.13,0.07,Top rock
2025-05-19,T1,3,0.024,0.05,0,0.074,0.25,Top rock
2025-05-19,T1,4,0.16,0.38,0,0.54,0.06,Top rock
2025-05-19,T1,5,0.15,0.02,0,0.17,0.12,Top rock
2025-05-19,T1,6,0.08,0.17,0,0.25,0.06,Top rock
2025-05-19,T1,7,0.13,0.32,0,0.45,0.34,Top rock
2025-05-19,T1,8,0.1,0.03,0,0.13,0.04,Top rock
2025-05-19,T1,9,0.16,0.43,0,0.59,0.36,Top rock
2025-05-19,T1,10,0.15,0.2,0,0.35,0.1,Top rock
2025-05-19,T1,11,0.38,0,2.15,2.53,0.12,Top rock
2025-05-19,T1,12,0.31,0.15,0,0.46,0.3,Top rock
2025-05-19,T1,13,0.15,0.24,0,0.39,0.29,Top rock
2025-05-19,T1,14,0.19,0.12,0,0.31,0.21,Top rock
2025-05-19,T1,15,0.3,0.18,0.24,0.72,0.41,Top rock
2025-05-19,T1,16,0.23,0.16,0,0.39,0.53,Top rock
2025-05-19,T1,17,0.48,0.08,0,0.56,0.55,Top rock
2025-05-19,T1,18,1.05,0,6.22,7.27,0.21,Top rock
2025-05-19,T1,19,0.63,0.12,0,0.75,0.39,Top rock
2025-05-19,T1,20,0.5,0.32,0.9,1.72,0.41,Top rock
2025-05-22,T2,1,0.45,0,1.68,2.13,0.13,Top rock
2025-05-22,T2,2,0.37,0,1.15,1.52,0.07,Top rock
2025-05-22,T2,3,0.58,0,2.21,2.79,0.16,Top rock
2025-05-22,T2,4,0.3,0,1.21,1.51,0.14,Top rock
2025-05-22,T2,5,0.53,0,2.04,2.57,0.19,Top rock
2025-05-22,T2,6,0.43,0,1.87,2.3,0.22,Top rock
2025-05-22,T2,7,0.82,0,3.55,4.37,0.22,Top rock
2025-05-22,T2,8,0.7,0,3.22,3.92,0.14,Top rock
2025-05-22,T2,9,0.8,0,4.13,4.93,0.15,Top rock
2025-05-22,T2,10,0.02,0.2,0.05,0.27,0.1,Top rock
2025-05-22,T2,11,0.65,0,3.32,3.97,0.11,Top rock
2025-05-22,T2,12,0.43,0,2.08,2.51,0.08,Top rock
2025-05-22,T2,13,0.73,0,3.57,4.3,0.06,Top rock
2025-05-22,T2,14,0.87,0,4.43,5.3,0.06,Top rock
2025-05-22,T2,15,0.43,0,2.2,2.63,0.06,Top rock
2025-05-22,T2,16,0.5,0,2.22,2.72,0.05,Top rock
2025-05-22,T2,17,0.33,0,1.45,1.78,0.06,Top rock
2025-05-22,T2,18,1.01,0,4.88,5.89,0.08,Top rock
2025-05-22,T2,19,0.99,0,4.65,5.64,0.06,Top rock
2025-05-22,T2,20,0.38,0,1.55,1.93,0.05,Top rock
2025-05-20,T3,1,0.85,0,4.48,5.33,0.01,Top rock
2025-05-20,T3,2,0.04,0.19,0,0.23,0.17,Top rock
2025-05-20,T3,3,0.78,0,3.49,4.27,0.15,Top rock
2025-05-20,T3,4,0.1,0.19,0,0.29,0.27,Top rock
2025-05-20,T3,5,0.13,0.22,0.22,0.57,0.2,Top rock
2025-05-20,T3,6,0.98,0,3.73,4.71,0.2,Top rock
2025-05-20,T3,7,0.79,0,3.37,4.16,0.16,Top rock
2025-05-20,T3,8,0.04,0.21,0,0.25,0.15,Top rock
2025-05-20,T3,9,0.06,0.15,0,0.21,0.22,Top rock
2025-05-20,T3,10,0.03,0.06,0,0.09,0.09,Top rock
2025-05-20,T3,11,0.08,0.02,0.21,0.31,0.29,Top rock
2025-05-20,T3,12,0.04,0.1,0,0.14,0.18,Top rock
2025-05-20,T3,13,0.06,0.24,0,0.3,0.23,Top rock
2025-05-20,T3,14,0.08,0.28,0,0.36,0.3,Top rock
2025-05-20,T3,15,0.08,0.14,0.22,0.44,0.1,Top rock
2025-05-20,T3,16,0.05,0.19,0,0.24,0.19,Top rock
2025-05-20,T3,17,0.11,0.32,0,0.43,0.33,Top rock
2025-05-20,T3,18,0.18,0.3,0.16,0.64,0.18,Top rock
2025-05-20,T3,19,0.07,0.17,0,0.24,0.3,Top rock
2025-05-20,T3,20,0.02,0.2,0,0.22,0.55,Top rock
2025-06-10,C1.5,1,0.04,0.28,0.02,0.34,0.25,Top rock
2025-06-10,C1.5,2,0.06,0.41,0,0.47,0.29,Top rock
2025-06-10,C1.5,3,0.18,0.45,0.02,0.65,0.4,Top rock
2025-06-10,C1.5,4,0.13,0.22,0,0.35,0.26,Top rock
2025-06-10,C1.5,5,0.58,0.59,0.45,1.62,0.12,Top rock
2025-06-10,C1.5,6,0.13,1.47,0.36,1.96,0.12,Top rock
2025-06-10,C1.5,7,0.37,0,0.84,1.21,0.26,Top rock
2025-06-10,C1.5,8,0.42,1.51,0.25,2.18,0.37,Top rock
2025-06-10,C1.5,9,0.17,0.5,0.3,0.97,0.17,Top rock
2025-06-10,C1.5,10,0.24,0,1.12,1.36,0.2,Top rock
2025-06-10,C1.5,11,0.13,0.38,0.25,0.76,0.33,Top rock
2025-06-10,C1.5,12,0.23,0.22,0.14,0.59,0.43,Top rock
2025-06-10,C1.5,13,0.27,0.56,0.21,1.04,0.34,Top rock
2025-06-10,C1.5,14,0.2,1.01,0,1.21,0.17,Top rock
2025-06-10,C1.5,15,0.26,0.53,0.06,0.85,0.74,Top rock
